PlayerName,KP%,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,Cluster
aiming,0.815,5.0,2.0,4.7,10.1,449,2
betty,0.643,4.4,2.0,4.4,10.0,444,2
easylove,0.703,3.9,2.4,4.3,9.2,407,1
elk,0.7070000000000001,4.8,2.8,7.3,9.7,457,0
gala,0.688,5.0,1.6,6.8,9.8,453,0
gumayusi,0.716,4.6,1.3,6.8,10.3,486,0
hans sama,0.684,4.8,3.1,4.9,9.3,444,2
jackeylove,0.63,4.0,2.6,5.0,9.7,442,2
light,0.7070000000000001,4.9,1.8,5.7,9.8,450,2
massu,0.6729999999999999,4.2,2.1,5.0,9.3,429,2
noah,0.772,4.5,1.5,4.3,9.7,438,2
peyz,0.7559999999999999,4.7,1.4,7.1,9.4,449,0
supa,0.648,2.6,4.0,3.8,9.4,416,1
titan,0.505,1.8,3.0,3.8,9.5,385,1
viper,0.755,5.6,2.5,5.0,10.5,465,2
yeon,0.675,3.8,1.8,5.0,10.0,448,2
