TeamName,KDA,Win rate,GD@15,CSPerMin,Solo Kills,Games
T1,7.06,0.875,473.2,6.760000000000001,4,40
Gen.G,5.9399999999999995,0.7,-37.6,6.859999999999999,10,50
Bilibili Gaming,4.116666666666667,0.6298333333333334,91.33333333333333,6.466666666666666,6,60
LNG Esports,5.42,0.625,7.2,6.82,3,40
Weibo Gaming,4.7,0.615,191.8,6.62,3,65
FlyQuest,3.9400000000000004,0.5,-81.8,6.659999999999999,6,70
Hanwha Life Esports,3.5,0.5,142.8,6.9,4,60
Team Liquid,3.44,0.5,102.0,6.640000000000001,7,50
Top Esports,3.5200000000000005,0.5,-25.4,6.56,4,40
G2 Esports,3.34,0.375,92.8,6.74,6,40
GAM Esports,3.0,0.375,-169.4,6.720000000000001,8,40
Dplus KIA,2.66,0.3329999999999999,-234.8,6.459999999999999,6,45
Fnatic,3.22,0.3329999999999999,-361.4,6.739999999999999,6,30
MAD Lions KOI,1.48,0.2,-56.4,6.480000000000001,7,25
PSG Talon,2.98,0.2,-104.6,6.62,2,25
PaiN Gaming,1.86,0.0,-643.4,6.5,1,20
